Date,ELET3.SA,TRPL4.SA,TAEE11.SA,VIVT3.SA,CYRE3.SA,BBAS3.SA,SANB11.SA,BBSE3.SA,IBOV
2015-01-02,4.591454982757568,6.112401485443115,9.385138511657715,23.768299102783203,7.681488513946533,15.901144981384277,8.79200553894043,18.85385513305664,48512.0
2015-01-05,4.502221584320068,6.119912624359131,9.350287437438965,23.29696273803711,7.87995719909668,15.57119369506836,8.72979736328125,18.288551330566406,47517.0
2015-01-06,4.542781352996826,6.085371971130371,9.36522388458252,22.71877098083496,8.100478172302246,15.788818359375,8.79200553894043,19.0650691986084,48001.0
2015-01-07,4.705024242401123,6.259581565856934,9.380158424377441,23.498069763183594,8.313648223876953,16.48383903503418,9.158340454101562,18.76067352294922,49463.0
2015-01-08,4.6157917976379395,6.300130367279053,9.46977710723877,24.453323364257812,8.379806518554688,16.53999900817871,9.00627613067627,18.704763412475586,49943.0
2015-01-09,4.51844596862793,5.778997898101807,9.405050277709961,24.06367301940918,7.9314117431640625,15.823921203613281,8.916421890258789,18.09597396850586,48840.0
2015-01-12,4.51844596862793,5.762478828430176,9.300498008728027,24.10138702392578,7.754995346069336,15.550128936767578,8.736711502075195,18.512187957763672,48140.0
2015-01-13,4.4778852462768555,5.759475231170654,9.459821701049805,24.742416381835938,7.754995346069336,15.45885944366455,8.715974807739258,18.12703514099121,48042.0
2015-01-14,4.575230598449707,5.822551727294922,9.59425163269043,25.01892852783203,7.725592613220215,15.57119369506836,8.833477020263672,17.816429138183594,47646.0
2015-01-15,4.5265583992004395,5.846581935882568,9.74361515045166,25.45256805419922,7.850554466247559,15.472901344299316,9.123778343200684,18.170520782470703,48026.0
2015-01-16,4.550894737243652,6.007275581359863,9.883023262023926,25.95533561706543,7.953464508056641,15.655433654785156,9.089221000671387,18.82279396057129,49017.0
2015-01-19,4.3724284172058105,5.842074871063232,9.758554458618164,25.766801834106445,7.87995719909668,15.585226058959961,8.833477020263672,18.3879451751709,47758.0
2015-01-20,4.2588582038879395,5.969729423522949,9.838212966918945,26.388973236083984,7.791749477386475,15.515019416809082,9.054661750793457,18.12082290649414,47877.0
2015-01-21,4.3886518478393555,5.782003879547119,9.808340072631836,27.212255477905273,8.085776329040527,15.908163070678711,9.15142822265625,18.85385513305664,49224.0
2015-01-22,4.380539417266846,5.812039852142334,9.793403625488281,26.96086883544922,8.18133544921875,16.041540145874023,9.116868019104004,18.897340774536133,49443.0
2015-01-23,4.218297481536865,5.6017842292785645,9.733658790588379,27.011150360107422,8.085776329040527,15.999429702758789,9.096132278442383,18.729612350463867,48775.0
2015-01-26,4.2588582038879395,5.679879665374756,9.609186172485352,26.37640953063965,8.093127250671387,15.816895484924316,9.331136703491211,18.6177921295166,48577.0
2015-01-27,4.242634296417236,5.750465393066406,9.658976554870605,26.018192291259766,8.071074485778809,16.1468563079834,9.158340454101562,18.375516891479492,48591.0
2015-01-28,4.242634296417236,5.751966953277588,9.609186172485352,26.608932495117188,8.012269973754883,15.451837539672852,9.15142822265625,17.959304809570312,47695.0
2015-01-29,4.275083065032959,5.93218469619751,9.708765983581543,26.244421005249023,8.100478172302246,15.128898620605469,9.262020111083984,18.33824920654297,47762.0
2015-01-30,4.161513328552246,5.891634464263916,9.683867454528809,25.766801834106445,7.946115016937256,14.504088401794434,8.591558456420898,18.5059757232666,46908.0
2015-02-02,4.185848712921143,5.804531097412109,9.858128547668457,26.06846809387207,7.894659519195557,14.181154251098633,8.709060668945312,18.624006271362305,47651.0
2015-02-03,4.33997917175293,5.855592250823975,9.917877197265625,26.690637588500977,7.909359931945801,14.637476921081543,8.964804649353027,18.797943115234375,48964.0
2015-02-04,4.2588582038879395,5.97723913192749,9.93281078338623,26.898021697998047,7.828500747680664,15.655433654785156,9.234370231628418,18.754465103149414,49301.0
2015-02-05,4.145287990570068,5.798521995544434,9.823277473449707,27.331663131713867,8.041672706604004,15.999429702758789,9.192899703979492,18.723398208618164,49234.0
2015-02-06,4.177737236022949,5.664860725402832,9.738633155822754,26.728343963623047,7.982867240905762,15.374616622924805,9.103042602539062,18.220216751098633,48792.0
2015-02-09,4.080391883850098,5.649841785430908,9.708765983581543,26.081031799316406,8.063725471496582,15.76776123046875,9.248196601867676,18.667490005493164,49383.0
2015-02-10,4.039831638336182,5.857094764709473,9.902939796447754,26.740909576416016,7.953464508056641,15.241222381591797,8.950982093811035,18.207792282104492,48510.0
2015-02-11,4.047943592071533,5.924676418304443,9.833234786987305,26.735795974731445,7.902009963989258,15.409717559814453,9.109955787658691,18.31961441040039,48240.0
2015-02-12,4.129065036773682,6.007275581359863,10.042348861694336,28.0673770904541,8.063725471496582,16.224088668823242,9.469375610351562,18.79173469543457,49533.0
2015-02-13,4.12095308303833,6.13342809677124,9.962685585021973,28.6483097076416,8.210739135742188,17.270118713378906,9.863359451293945,19.126575469970703,50636.0
2015-02-18,4.315643787384033,6.164965629577637,10.087156295776367,29.046459197998047,8.379806518554688,16.813791275024414,9.780412673950195,19.317901611328125,51280.0
2015-02-19,4.356203556060791,6.258078575134277,10.306225776672363,28.550386428833008,8.416559219360352,17.094606399536133,9.828798294067383,20.15337371826172,51294.0
2015-02-20,4.266969680786133,6.179985523223877,10.286307334899902,28.393735885620117,8.416559219360352,16.891090393066406,9.676736831665039,20.306438446044922,51238.0
2015-02-23,4.104727745056152,6.119912624359131,10.231538772583008,28.18486213684082,8.365104675292969,16.827665328979492,9.690560340881348,20.40848159790039,51281.0
