Date,IBOV,BPAC11,CCRO3,CYRE3,CSNA3,ITUB4,LREN3,LCAM3,PRIO3,VALE3,VVAR3
2000-01-03,16930.0,,,,2.1901423931121826,,,,,2.0587782859802246,0.9966822266578674
2000-01-04,15851.0,,,,2.22165584564209,,6129.31201171875,,,2.0097594261169434,0.9966822266578674
2000-01-05,16245.0,,,,2.340954065322876,,6129.31201171875,,,2.0097594261169434,0.9966822266578674
2000-01-06,16107.0,,,,2.446747064590454,,6129.31201171875,,,2.0097594261169434,0.9966822266578674
2000-01-07,16309.0,,,,2.4309914112091064,,6129.31201171875,,,2.083287477493286,0.9966822266578674
2000-01-10,17022.0,,,,2.4602527618408203,,6129.31201171875,,,2.254852056503296,0.9966822266578674
2000-01-11,16573.0,,,,2.3567113876342773,,6129.31201171875,,,2.259754180908203,0.9966822266578674
2000-01-12,16617.0,,,,2.250917434692383,,6129.31201171875,,,2.2818124294281006,0.9966822266578674
2000-01-13,17298.0,,,,2.0415821075439453,,6129.31201171875,,,2.3577919006347656,0.9966822266578674
2000-01-14,17658.0,,,,1.9808074235916138,,6129.31201171875,,,2.4019076824188232,0.9966822266578674
2000-01-17,18053.0,,,0.39869168400764465,2.104607582092285,,6129.31201171875,,,2.4509263038635254,0.9966822266578674
2000-01-18,17903.0,,,,2.0685930252075195,,6129.31201171875,,,2.3773982524871826,0.9966822266578674
2000-01-19,17470.0,,,,2.010068893432617,,6129.31201171875,,,2.3675947189331055,0.9966822266578674
2000-01-20,17177.0,,,0.39869168400764465,1.9515457153320312,,6129.31201171875,,,2.3528895378112793,0.9966822266578674
2000-01-21,17034.0,,,,1.8164905309677124,,6129.31201171875,,,2.303870916366577,0.9966822266578674
2000-01-24,16972.0,,,0.45683422684669495,1.8615086078643799,,6129.31201171875,,,2.3528895378112793,0.9966822266578674
2000-01-26,17105.0,,,,1.8457520008087158,,6129.31201171875,,,2.3332817554473877,0.9966822266578674
2000-01-27,17081.0,,,,1.8164905309677124,,6129.31201171875,,,2.3528895378112793,0.9966822266578674
2000-01-28,16734.0,,,,1.8007341623306274,,6129.31201171875,,,2.3528895378112793,0.9966822266578674
2000-01-31,16388.0,,,0.44852808117866516,1.7557158470153809,,6129.31201171875,,,2.3528895378112793,0.9966822266578674
2000-02-01,16522.0,,,,1.6949411630630493,,6129.31201171875,,,2.303870916366577,0.9966822266578674
2000-02-02,16868.0,,,0.43191593885421753,1.6499227285385132,,6129.31201171875,,,2.20583438873291,0.9966822266578674
2000-02-03,17457.0,,,,1.7399591207504272,,5107.7607421875,,,2.20583438873291,0.9966822266578674
2000-02-04,17932.0,,,,1.7827268838882446,,5107.7607421875,,,2.2891650199890137,0.9966822266578674
2000-02-07,18126.0,,,,1.775974154472351,,5107.7607421875,,,2.4019076824188232,0.9966822266578674
2000-02-08,18686.0,,,,1.7804756164550781,,5107.7607421875,,,2.5416102409362793,0.9966822266578674
2000-02-09,18361.0,,,,1.7377082109451294,,5107.7607421875,,,2.4999449253082275,0.9966822266578674
2000-02-10,18604.0,,,,1.7399591207504272,,5107.7607421875,,,2.3528895378112793,0.9966822266578674
2000-02-11,18083.0,,,0.4551730453968048,1.6926900148391724,,5107.7607421875,,,2.2298531532287598,0.9966822266578674
2000-02-14,17819.0,,,0.45683422684669495,1.6364166736602783,,5107.7607421875,,,2.2009315490722656,0.9966822266578674
2000-02-15,17921.0,,,0.4651402533054352,1.6206607818603516,,5107.7607421875,,,2.254852056503296,0.9966822266578674
2000-02-16,18112.0,,,0.45683422684669495,1.6521735191345215,,5107.7607421875,,,2.254852056503296,0.9966822266578674
2000-02-17,17979.0,,,,1.7106969356536865,,5107.7607421875,,,2.20583438873291,0.9966822266578674
2000-02-18,17625.0,,,,1.6814355850219727,,5107.7607421875,,,2.20583438873291,0.9966822266578674
2000-02-21,17700.0,,,,1.7039446830749512,,5107.7607421875,,,2.20583438873291,0.9966822266578674
2000-02-22,17489.0,,,0.4651402533054352,1.7084463834762573,,5107.7607421875,,,2.1568148136138916,0.9966822266578674
2000-02-23,17833.0,,,,1.6499227285385132,,5107.7607421875,,,2.20583438873291,0.9966822266578674
2000-02-24,17776.0,,,,1.658926248550415,,5107.7607421875,,,2.1813247203826904,0.9966822266578674
2000-02-25,17787.0,,,0.45683422684669495,1.6206607818603516,,5107.7607421875,,,2.1568148136138916,0.9966822266578674
2000-02-28,17543.0,,,,1.6499227285385132,,5107.7607421875,,,2.1077964305877686,0.9966822266578674
2000-02-29,17660.0,,,0.48175248503685,1.6499227285385132,,5107.7607421875,,,1.9999563694000244,0.9966822266578674
2000-03-01,17953.0,,,,1.6859370470046997,,5107.7607421875,,,2.0097594261169434,0.9966822266578674
2000-03-02,18016.0,,,,1.6904388666152954,,5107.7607421875,,,1.9597604274749756,0.9966822266578674
2000-03-03,18632.0,,,0.4734463393688202,1.8007341623306274,,5107.7607421875,,,1.9357414245605469,0.9966822266578674
2000-03-08,18283.0,,,0.4651402533054352,1.6949411630630493,,5107.7607421875,,,1.9465253353118896,0.9966822266578674
2000-03-09,18650.0,,,,1.667930245399475,,5107.7607421875,,,1.9068204164505005,0.9966822266578674
2000-03-10,18280.0,,,0.4651402533054352,1.6476718187332153,,5107.7607421875,,,1.8627036809921265,0.9966822266578674
2000-03-13,17595.0,,,,1.6499227285385132,,5107.7607421875,,,1.8627036809921265,0.9966822266578674
2000-03-14,17222.0,,,,1.6499227285385132,,5107.7607421875,,,1.7646677494049072,0.9966822266578674
